danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist,song_name
0.711,0.572,9,-5.894,1,0.0512,0.131,0.0,0.173,0.525,105.015,audio_features,4NXrPFIWBQMFRzG7Hk5ROf,spotify:track:4NXrPFIWBQMFRzG7Hk5ROf,https://api.spotify.com/v1/tracks/4NXrPFIWBQMFRzG7Hk5ROf,https://api.spotify.com/v1/audio-analysis/4NXrPFIWBQMFRzG7Hk5ROf,169311,4,ANNABELLE,CHARM
0.672,0.246,8,-12.735,0,0.0298,0.875,0.625,0.109,0.172,94.08,audio_features,43p7kAVqa4CYkwQtl0ZBb3,spotify:track:43p7kAVqa4CYkwQtl0ZBb3,https://api.spotify.com/v1/tracks/43p7kAVqa4CYkwQtl0ZBb3,https://api.spotify.com/v1/audio-analysis/43p7kAVqa4CYkwQtl0ZBb3,211383,4,Bella Álvarez,Se Te Olvidó
0.641,0.791,6,-5.026,0,0.0339,0.00328,5.52e-05,0.0902,0.78,93.99,audio_features,7dxlHPdMeGZQDX70TK0jB5,spotify:track:7dxlHPdMeGZQDX70TK0jB5,https://api.spotify.com/v1/tracks/7dxlHPdMeGZQDX70TK0jB5,https://api.spotify.com/v1/audio-analysis/7dxlHPdMeGZQDX70TK0jB5,246317,4,Melek Mosso,Hayatım Kaymış
0.583,0.367,6,-7.078,1,0.0348,0.706,0.0,0.0922,0.285,142.013,audio_features,0kdpQ3yq9JDvpiuOlMBqzs,spotify:track:0kdpQ3yq9JDvpiuOlMBqzs,https://api.spotify.com/v1/tracks/0kdpQ3yq9JDvpiuOlMBqzs,https://api.spotify.com/v1/audio-analysis/0kdpQ3yq9JDvpiuOlMBqzs,166341,4,Loi,Melody
0.727,0.502,2,-6.52,1,0.0266,0.697,0.00294,0.0802,0.896,105.013,audio_features,57cgMgigMPJoLD1Mj6VLNu,spotify:track:57cgMgigMPJoLD1Mj6VLNu,https://api.spotify.com/v1/tracks/57cgMgigMPJoLD1Mj6VLNu,https://api.spotify.com/v1/audio-analysis/57cgMgigMPJoLD1Mj6VLNu,219565,4,Marissa Mur,No Necesito Más
0.416,0.372,3,-8.328,0,0.0319,0.755,0.0,0.375,0.288,147.637,audio_features,6xPENxX8GHL5OAw6jqRcHx,spotify:track:6xPENxX8GHL5OAw6jqRcHx,https://api.spotify.com/v1/tracks/6xPENxX8GHL5OAw6jqRcHx,https://api.spotify.com/v1/audio-analysis/6xPENxX8GHL5OAw6jqRcHx,227027,4,Aurea,Frágil
0.841,0.772,6,-3.825,0,0.199,0.0964,0.0,0.136,0.496,93.032,audio_features,1TrjxEcRPHvaLF3saKCSs4,spotify:track:1TrjxEcRPHvaLF3saKCSs4,https://api.spotify.com/v1/tracks/1TrjxEcRPHvaLF3saKCSs4,https://api.spotify.com/v1/audio-analysis/1TrjxEcRPHvaLF3saKCSs4,159989,4,ANNA,Drippin' in Milano
0.399,0.492,6,-10.777,0,0.0538,0.058,0.00101,0.11,0.159,91.066,audio_features,1fah1uAs7HeTYDlNftKr3K,spotify:track:1fah1uAs7HeTYDlNftKr3K,https://api.spotify.com/v1/tracks/1fah1uAs7HeTYDlNftKr3K,https://api.spotify.com/v1/audio-analysis/1fah1uAs7HeTYDlNftKr3K,210463,4,Ritt Momney,Put Your Records On
0.705,0.776,4,-6.096,1,0.0445,0.0643,2.81e-06,0.0246,0.366,116.011,audio_features,0mA7zotmg2ZFMRALljdZsS,spotify:track:0mA7zotmg2ZFMRALljdZsS,https://api.spotify.com/v1/tracks/0mA7zotmg2ZFMRALljdZsS,https://api.spotify.com/v1/audio-analysis/0mA7zotmg2ZFMRALljdZsS,185304,4,Tones And I,Cloudy Day
0.58,0.586,1,-6.883,1,0.0357,0.344,0.0,0.0755,0.507,147.988,audio_features,7xbWAw3LMgRMn4omR5yVn3,spotify:track:7xbWAw3LMgRMn4omR5yVn3,https://api.spotify.com/v1/tracks/7xbWAw3LMgRMn4omR5yVn3,https://api.spotify.com/v1/audio-analysis/7xbWAw3LMgRMn4omR5yVn3,199549,4,Kygo & OneRepublic,Lose Somebody
