danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist,song_name
0.818,0.773,8,-5.714,0,0.0579,0.0166,7.64e-06,0.377,0.878,122.016,audio_features,7GiozRoMk95aFl1WbrDdjX,spotify:track:7GiozRoMk95aFl1WbrDdjX,https://api.spotify.com/v1/tracks/7GiozRoMk95aFl1WbrDdjX,https://api.spotify.com/v1/audio-analysis/7GiozRoMk95aFl1WbrDdjX,143953,4,NOTD & Catello,Nobody
0.763,0.804,4,-3.453,0,0.037,0.0305,1.06e-05,0.147,0.655,123.982,audio_features,6s3OlLs8Ey8LCol4xaDb6R,spotify:track:6s3OlLs8Ey8LCol4xaDb6R,https://api.spotify.com/v1/tracks/6s3OlLs8Ey8LCol4xaDb6R,https://api.spotify.com/v1/audio-analysis/6s3OlLs8Ey8LCol4xaDb6R,141842,4,The Stickmen Project,Don't Even Know Your Name
0.798,0.752,1,-5.947,1,0.227,0.128,0.0362,0.0795,0.565,125.996,audio_features,1HHnQYqcnlnE9q7LGFFGFj,spotify:track:1HHnQYqcnlnE9q7LGFFGFj,https://api.spotify.com/v1/tracks/1HHnQYqcnlnE9q7LGFFGFj,https://api.spotify.com/v1/audio-analysis/1HHnQYqcnlnE9q7LGFFGFj,164740,4,Icona Pop & VIZE,Off Of My Mind
0.719,0.837,2,-4.571,0,0.0349,0.0517,0.000509,0.108,0.251,123.989,audio_features,1LyTeIRYMHPA13p4b02NvV,spotify:track:1LyTeIRYMHPA13p4b02NvV,https://api.spotify.com/v1/tracks/1LyTeIRYMHPA13p4b02NvV,https://api.spotify.com/v1/audio-analysis/1LyTeIRYMHPA13p4b02NvV,196524,4,Lucas Estrada & Wahlstedt & AMAYA,Naked
0.812,0.796,8,-10.548,1,0.0356,0.00826,0.921,0.365,0.961,125.976,audio_features,1yApeqGiKKeAMptbNUv2Mf,spotify:track:1yApeqGiKKeAMptbNUv2Mf,https://api.spotify.com/v1/tracks/1yApeqGiKKeAMptbNUv2Mf,https://api.spotify.com/v1/audio-analysis/1yApeqGiKKeAMptbNUv2Mf,249679,4,Ewan McVicar,Tell Me Something Good
0.763,0.665,11,-9.063,0,0.0807,0.122,0.0112,0.476,0.422,126.025,audio_features,7JdiXX87BugXUDhQ89GEc8,spotify:track:7JdiXX87BugXUDhQ89GEc8,https://api.spotify.com/v1/tracks/7JdiXX87BugXUDhQ89GEc8,https://api.spotify.com/v1/audio-analysis/7JdiXX87BugXUDhQ89GEc8,196667,4,John Summit & SIDEPIECE,Deep End - SIDEPIECE Remix
0.72,0.858,0,-5.657,1,0.0314,0.000307,0.692,0.0932,0.565,124.001,audio_features,3hbi5zXAgQt0Z9V5JSOnCe,spotify:track:3hbi5zXAgQt0Z9V5JSOnCe,https://api.spotify.com/v1/tracks/3hbi5zXAgQt0Z9V5JSOnCe,https://api.spotify.com/v1/audio-analysis/3hbi5zXAgQt0Z9V5JSOnCe,184839,4,Dubdogz & JØRD,Everybody Wants To Party
0.687,0.662,7,-6.285,0,0.0505,0.207,5.95e-05,0.0819,0.799,122.05,audio_features,4AL1AOOFk7Bqe4XFs8cN86,spotify:track:4AL1AOOFk7Bqe4XFs8cN86,https://api.spotify.com/v1/tracks/4AL1AOOFk7Bqe4XFs8cN86,https://api.spotify.com/v1/audio-analysis/4AL1AOOFk7Bqe4XFs8cN86,165246,4,Dark Heart,Don't Speak
0.741,0.914,5,-5.589,1,0.133,0.0247,0.0195,0.22,0.15,124.984,audio_features,1LsoAswipJvPzdcSnoQ46C,spotify:track:1LsoAswipJvPzdcSnoQ46C,https://api.spotify.com/v1/tracks/1LsoAswipJvPzdcSnoQ46C,https://api.spotify.com/v1/audio-analysis/1LsoAswipJvPzdcSnoQ46C,154905,4,Coldabank & Freedo,I Just Wanna Dance
0.701,0.802,2,-4.771,1,0.0451,0.00059,0.819,0.332,0.365,124.025,audio_features,039VxfSo5FErqE65169VZL,spotify:track:039VxfSo5FErqE65169VZL,https://api.spotify.com/v1/tracks/039VxfSo5FErqE65169VZL,https://api.spotify.com/v1/audio-analysis/039VxfSo5FErqE65169VZL,152131,4,Bingo Players & Felguk & Fafaq,Devotion - 2020 Remix
