danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist,song_name
0.741,0.697,0,-7.028,1,0.0277,0.0664,2.28e-05,0.133,0.774,116.109,audio_features,2LawezPeJhN4AWuSB0GtAU,spotify:track:2LawezPeJhN4AWuSB0GtAU,https://api.spotify.com/v1/tracks/2LawezPeJhN4AWuSB0GtAU,https://api.spotify.com/v1/audio-analysis/2LawezPeJhN4AWuSB0GtAU,160133,4,Creedence Clearwater Revival,Have You Ever Seen The Rain
0.73,0.868,5,-7.325,1,0.0288,0.0632,0.0661,0.318,0.923,148.217,audio_features,6cr6UDpkjEaMQ80OjWqEBQ,spotify:track:6cr6UDpkjEaMQ80OjWqEBQ,https://api.spotify.com/v1/tracks/6cr6UDpkjEaMQ80OjWqEBQ,https://api.spotify.com/v1/audio-analysis/6cr6UDpkjEaMQ80OjWqEBQ,350400,4,Dire Straits,Sultans of Swing
0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,audio_features,2zYzyRzz6pRmhPzyfMEC8s,spotify:track:2zYzyRzz6pRmhPzyfMEC8s,https://api.spotify.com/v1/tracks/2zYzyRzz6pRmhPzyfMEC8s,https://api.spotify.com/v1/audio-analysis/2zYzyRzz6pRmhPzyfMEC8s,208400,4,AC/DC,Highway to Hell
0.564,0.932,11,-10.068,1,0.0554,0.013,0.169,0.349,0.619,112.937,audio_features,78lgmZwycJ3nzsdgmPPGNx,spotify:track:78lgmZwycJ3nzsdgmPPGNx,https://api.spotify.com/v1/tracks/78lgmZwycJ3nzsdgmPPGNx,https://api.spotify.com/v1/audio-analysis/78lgmZwycJ3nzsdgmPPGNx,146250,4,Led Zeppelin,Immigrant Song - Remaster
0.454,0.91,6,-7.766,1,0.0448,0.0866,0.0996,0.116,0.629,125.116,audio_features,7o2CTH4ctstm8TNelqjb51,spotify:track:7o2CTH4ctstm8TNelqjb51,https://api.spotify.com/v1/tracks/7o2CTH4ctstm8TNelqjb51,https://api.spotify.com/v1/audio-analysis/7o2CTH4ctstm8TNelqjb51,354520,4,Guns N' Roses,Sweet Child O' Mine
0.546,0.529,9,-13.6,1,0.0436,0.0629,0.000567,0.0383,0.574,151.727,audio_features,2X6gdRlGOQgfaXU9ALUQFQ,spotify:track:2X6gdRlGOQgfaXU9ALUQFQ,https://api.spotify.com/v1/tracks/2X6gdRlGOQgfaXU9ALUQFQ,https://api.spotify.com/v1/audio-analysis/2X6gdRlGOQgfaXU9ALUQFQ,271000,4,Fleetwood Mac,The Chain
0.636,0.746,0,-3.785,1,0.0393,0.0648,0.29,0.173,0.432,132.31,audio_features,5e6x5YRnMJIKvYpZxLqdpH,spotify:track:5e6x5YRnMJIKvYpZxLqdpH,https://api.spotify.com/v1/tracks/5e6x5YRnMJIKvYpZxLqdpH,https://api.spotify.com/v1/audio-analysis/5e6x5YRnMJIKvYpZxLqdpH,138053,4,Creedence Clearwater Revival,Fortunate Son
0.43,0.463,2,-10.96,1,0.0442,0.303,5.84e-05,0.152,0.66,93.405,audio_features,1IqFh00G2kvvMm8pRMpehA,spotify:track:1IqFh00G2kvvMm8pRMpehA,https://api.spotify.com/v1/tracks/1IqFh00G2kvvMm8pRMpehA,https://api.spotify.com/v1/audio-analysis/1IqFh00G2kvvMm8pRMpehA,271333,4,Janis Joplin,Me and Bobby McGee
0.654,0.506,11,-17.18,0,0.0535,0.686,0.0155,0.155,0.831,123.179,audio_features,54eZmuggBFJbV7k248bTTt,spotify:track:54eZmuggBFJbV7k248bTTt,https://api.spotify.com/v1/tracks/54eZmuggBFJbV7k248bTTt,https://api.spotify.com/v1/audio-analysis/54eZmuggBFJbV7k248bTTt,252240,4,America & George Martin,A Horse with No Name
0.404,0.903,1,-3.88,1,0.0668,0.577,0.297,0.287,0.498,115.672,audio_features,3k9i7UzeSUYWIfUZFeFDUd,spotify:track:3k9i7UzeSUYWIfUZFeFDUd,https://api.spotify.com/v1/tracks/3k9i7UzeSUYWIfUZFeFDUd,https://api.spotify.com/v1/audio-analysis/3k9i7UzeSUYWIfUZFeFDUd,423840,4,Derek & The Dominos,Layla - 40th Anniversary Version / 2010 Remastered
0.668,0.906,11,-4.881,0,0.17,0.214,0.00245,0.135,0.507,135.653,audio_features,2d4e45fmUnguxh6yqC7gNT,spotify:track:2d4e45fmUnguxh6yqC7gNT,https://api.spotify.com/v1/tracks/2d4e45fmUnguxh6yqC7gNT,https://api.spotify.com/v1/audio-analysis/2d4e45fmUnguxh6yqC7gNT,231933,4,AC/DC,Dirty Deeds Done Dirt Cheap
